nse_symbol,ex_date,share_multiplier,source_records,parsed_unique_factors,subjects
BBL,2024-04-24,2.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
BBOX,2012-12-19,2.0,1,1,Bonus 1:1
BBOX,2022-05-13,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
BBTC,2012-11-08,5.0,1,1,Face Value Split From Rs 10 To Rs 2
BCG,2021-08-18,1.25,1,1, Bonus 1:4
BCG,2022-03-15,1.6666666667,1,1,Bonus 2:3
BCLIND,2023-10-27,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
BDL,2024-05-24,2.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
BEARDSELL,2017-05-04,6.0,1,2, Bonus 1:5/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
BECTORFOOD,2025-12-12,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
BEL,2015-09-14,3.0,1,1, Bonus 2:1
BEL,2017-03-16,10.0,1,1, Face Value Split From Rs 10/- Per Share To Re 1/- Per Share
BEL,2017-09-28,1.1,1,1, Bonus 1:10
BEL,2022-09-15,3.0,1,1,Bonus 2:1
BEML,2025-11-03,2.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
BEPL,2023-07-05,1.5,1,1,Bonus 1:2
BERGEPAINT,2006-10-12,1.6,1,1,Bonus 3:5
BERGEPAINT,2015-01-08,2.0,1,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
BERGEPAINT,2016-07-15,1.4,1,1, Bonus 2:5
BERGEPAINT,2023-09-22,1.2,1,1,Bonus 1:5
BESTAGRO,2026-01-16,15.0,2,2,Bonus 1:2 | Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
BHAGCHEM,2024-05-02,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 1/- Per Share
BHAGERIA,2019-07-17,2.0,1,1, Bonus 1:1
BHAGYNAGAR,2006-09-07,2.0,1,1,Bonus 1:1
BHARATFORG,2005-07-20,5.0,1,1,Spl Rs10 To Rs2 /Div-125%
BHARATFORG,2017-09-28,2.0,1,1, Bonus 1:1
BHARATGEAR,2022-09-27,1.5,1,1,Bonus 1:2
BHARATRAS,2025-12-12,4.0,2,2,Bonus 1:1 | Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
BHEL,2007-05-31,2.0,1,1,Bonus 1:1
BHEL,2011-10-03,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
BHEL,2017-09-28,1.5,1,1, Bonus 1:2
BIGBLOC,2021-11-15,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
BIGBLOC,2024-09-12,2.0,1,1,Bonus 1:1
BILENERGY,2013-03-26,10.0,1,1,Face Value Split From Rs.10/- To Re. 1/-
BILENERGY,2018-01-11,2.0,1,1, Bonus 1:1
BILPOWER,2012-10-04,2.0,1,1,Bonus 1:1
BIOCON,2008-09-11,2.0,1,1,Bonus 1:1
BIOCON,2017-06-15,3.0,1,1, Bonus 2:1
BIOCON,2019-06-12,2.0,1,1, Bonus 1:1
BIRLACOT,2009-10-23,10.0,1,1,Fv Split Rs.10/- To Re.1/
BIRLACOT,2010-09-29,1.2,1,1,Bonus 1:5
BIRLAMONEY,2008-07-11,10.0,1,1,Fv Split Rs.10/- To Re.1/
BIRLAPOWER,2009-04-24,10.0,1,1,Fv Split Rs.10/- To Rs.1/
BIRLAPOWER,2010-10-20,1.2,1,1,Bonus 1:5
BLKASHYAP,2007-10-22,2.0,1,1,Fv Split Rs.10/- To Rs.5/
BLKASHYAP,2010-09-29,10.0,1,2,Bonus 1:1 / Face Value Split From Rs. 5/- To Re. 1/-
BLS,2017-04-26,10.0,1,1, Face Value Split From Rs 10/- Per Share To Re 1/- Per Share
BLS,2022-05-13,2.0,1,1,Bonus 1:1
BLS,2022-12-08,2.0,1,1,Bonus 1:1
