record_id,nse_symbol,isin,company_name,board,delisted_date,delisting_type,source
NSEDL0414,DFMFOODS,INE456C01020,DFM Foods Limited,Main Board,2023-04-05,Voluntary Delisting ,NSE official delisted companies register
NSEDL0415,PSL,INE474B01017,PSL Limited,Main Board,2023-04-21,Delisting - Liquidation,NSE official delisted companies register
NSEDL0416,EMCO,INE078A01026,Emco Limited ,Main Board,2023-04-28,Delisting - Liquidation,NSE official delisted companies register
NSEDL0417,AUTORIDFIN,INE450A01019,Autoriders Finance Limited,Main Board,2023-05-23,Compulsory Delisting ,NSE official delisted companies register
NSEDL0418,NATNLSTEEL,INE088B01015,National Steel And Agro Industries Limited,Main Board,2023-06-27,Voluntary Delisting ,NSE official delisted companies register
NSEDL0419,MRO,INE330R01017,M.R. Organisation Limited,ITP,2023-08-08,Exit from ITP platform,NSE official delisted companies register
NSEDL0420,OISL,INE196J01019,OCL Iron and Steel Limited,Main Board,2023-08-18,Voluntary Delisting ,NSE official delisted companies register
NSEDL0421,AUTOLITIND,INE448A01013,Autolite (India) Limited,Main Board,2023-08-29,Compulsory Delisting ,NSE official delisted companies register
NSEDL0422,VIRESCENT,INE0GYU23027 *,Virescent Renewable Energy Trust,Main Board,2023-09-07,Voluntary Delisting ,NSE official delisted companies register
NSEDL0423,THIRUSUGAR,INE409A01015,Thiru Arooran Sugars Limited,Main Board,2023-11-20,Voluntary Delisting ,NSE official delisted companies register
NSEDL0424,SREIBNPNCD,INE881J07DQ3,Srei Equipment Finance Limited,Main Board,2023-12-14,Voluntary Delisting,NSE official delisted companies register
NSEDL0425,SREINFRA,INE872A01014,SREI Infrastructure Finance Limited,Main Board,2023-12-14,Voluntary Delisting,NSE official delisted companies register
NSEDL0426,JMTAUTOLTD,INE988E01036,JMT Auto Limited,Main Board,2023-12-18,Voluntary Delisting,NSE official delisted companies register
NSEDL0427,SHARONBIO,INE028B01029,Sharon Bio-Medicine Limited,Main Board,2024-02-20,Voluntary Delisting,NSE official delisted companies register
NSEDL0428,MOHOTAIND,INE313D01013,Mohota Industries Limited,Main Board,2024-03-28,Voluntary Delisting,NSE official delisted companies register
NSEDL0429,SONISOYA,INE301Z01011,Soni Soya Products Limited ,SME,2024-07-05,Compulsory Delisting ,NSE official delisted companies register
NSEDL0430,LGBFORGE,INE201J01017,LGB Forge Limited,Main Board,2024-08-06,Voluntary Delisting,NSE official delisted companies register
NSEDL0431,BIRLATYRE,INE0AEJ01013,Birla Tyres Limited,Main Board,2024-08-08,Voluntary Delisting,NSE official delisted companies register
NSEDL0432,SBIHOMEFIN,INE627A01012,SBI Home Finance Limited,Main Board ,2024-08-12,Operation of Law,NSE official delisted companies register
NSEDL0433,CELESTIAL,INE221I01017,Celestial Biolabs Limited ,Main Board,2024-10-17,Compulsory Delisting ,NSE official delisted companies register
NSEDL0434,JIKIND,INE026B01049,JIK Industries Limited,Main Board,2024-10-17,Compulsory Delisting ,NSE official delisted companies register
NSEDL0435,JINDCOT,INE904J01016,Jindal Cotex Limited,Main Board,2024-11-11,Compulsory Delisting ,NSE official delisted companies register
NSEDL0436,RELCAPITAL,INE013A01015,Reliance Capital Limited,Main Board,2025-02-13,Voluntary Delisting,NSE official delisted companies register
NSEDL0437,JPINFRATEC,INE099J01015,Jaypee Infratech Limited,Main Board,2025-02-21,Voluntary Delisting,NSE official delisted companies register
NSEDL0438,MVL,INE744I01034,MVL Limited,Main Board,2025-02-28,Compulsory Delisting ,NSE official delisted companies register
NSEDL0439,METALFORGE,INE425A01011,Metalyst Forgings Limited,Main Board,2025-03-26,Voluntary Delisting,NSE official delisted companies register
NSEDL0440,SPTL,INE501W01021,Sintex Plastics Technology Limited,Main Board,2025-05-21,Voluntary Delisting,NSE official delisted companies register
NSEDL0441,SATHAISPAT,INE176C01016,Sathavahana Ispat Limited ,Main Board,2025-07-01,Voluntary Delisting,NSE official delisted companies register
NSEDL0442,OCCL,INE321D01016,Oriental Carbon & Chemicals Limited,Main Board,2025-07-15,Voluntary Delisting,NSE official delisted companies register
NSEDL0443,PENTAGOLD,INE175Y01012,Penta Gold Limited,SME,2025-07-25,Compulsory Delisting ,NSE official delisted companies register
NSEDL0444,SSINFRA,INE182Z01015,S.S. Infrastructure Development Consultants Limited,SME,2025-07-25,Compulsory Delisting ,NSE official delisted companies register
NSEDL0445,MANPASAND,INE122R01018,Manpasand Beverages Limited,Main Board,2025-08-05,Compulsory Delisting ,NSE official delisted companies register
NSEDL0446,HINDNATGLS,INE952A01022,Hindusthan National Glass & Industries Limited,Main Board,2025-09-22,Voluntary Delisting,NSE official delisted companies register
NSEDL0447,HINDMOTORS,INE253A01025,Hindustan Motors Limited,Main Board,2025-10-10,Voluntary Delisting,NSE official delisted companies register
NSEDL0448,BHALCHANDR,INE992S01012,Bhalchandram Clothing Limited,ITP,2025-11-03,Exit from ITP platform,NSE official delisted companies register
NSEDL0449,HERCULES,INE688E01024,Hercules Investments Limited,Main Board,2026-01-09,Voluntary Delisting,NSE official delisted companies register
NSEDL0450,ROLTA,INE293A01013,Rolta India Limited,Main Board,2026-01-19,Voluntary Delisting,NSE official delisted companies register
NSEDL0451,FEDDERELEC,INE249C01011,Fedders Electric and Engineering Limited,Main Board,2026-03-02,Voluntary Delisting,NSE official delisted companies register
NSEDL0452,FSC,INE935Q01015,Future Supply Chain Solutions Limited,Main Board,2026-03-24,Voluntary Delisting,NSE official delisted companies register
NSEDL0453,VISESHINFO,INE861A01058,Visesh Infotecnics Limited,Main Board,2026-04-06,Compulsory Delisting ,NSE official delisted companies register
NSEDL0454,CLOUD,INE0JOO01021,Varanium Cloud Limited,SME,2026-04-22,Compulsory Delisting ,NSE official delisted companies register
NSEDL0455,JPASSOCIAT,INE455F01025,Jaiprakash Associates Limited,Main Board,2026-06-18,Voluntary Delisting,NSE official delisted companies register
